trip_id,start_time,end_time,headway_secs,exact_times
8d7d41ab-bbcd-44c1-953f-a6c586e6dc7a,23:00:00,28:00:00,3600,0
feed203a-fbfa-4aa5-9928-37073b993aca,06:00:00,10:00:00,900,0
3a51f574-8505-4ead-9629-c279c50fb52d,18:00:00,20:00:00,1800,0
4e59ccad-55f7-45be-8d52-c22f183f1a5f,20:00:00,21:00:00,1200,0
a5db6882-b8ea-40a1-ab7d-d6edc2586fab,21:00:00,22:20:00,2400,0
99219b98-ade1-4a29-b1e7-c88bdc458d0d,09:00:00,10:00:00,720,0
71be5e10-e4ea-487f-907f-77d7a551e67d,11:00:00,14:00:00,900,0
72a4c3f6-c139-481a-8b3d-76bf360e1021,07:00:00,08:00:00,720,0
fc8a977a-1714-47e4-a431-cb51ab91d15a,05:00:00,06:00:00,3600,0
ee2e0fce-9adb-4e2f-97e6-e97b0a7acf88,16:00:00,18:00:00,1200,0
ce35541f-ec3f-482d-ac23-4d78c87c8858,14:00:00,15:00:00,900,0
346b0a33-dd74-4ba1-aed6-ee663f4af3bf,21:00:00,23:00:00,1800,0
cd9f43e0-35a6-4df0-80ca-187495c64127,07:00:00,08:00:00,900,0
bc75a238-4c86-4ada-aa0c-eb3b8b728b4d,12:00:00,14:45:00,660,0
79d629e8-c2c8-4bf6-9d49-70fd1a2b49b2,15:00:00,18:00:00,1080,0
d45983b2-4a37-4154-89c7-667ab6fa42ae,28:00:00,29:00:00,1800,0
16e569eb-237c-46c5-a7c7-12ca47f5fb99,12:00:00,13:00:00,1800,0
a92b5584-c16f-47a4-b6ce-5fea21b0dcae,04:00:00,22:00:00,3600,0
19244f08-8685-4d1b-ab33-70ed557b288c,09:00:00,11:00:00,3600,0
6a7d8842-ddca-4e48-a872-1bc7f669a698,17:00:00,19:00:00,1200,0
8e1983f8-f2a6-447e-a543-33a751c34b83,16:49:00,17:00:00,660,0
60798064-2c2d-4c15-a89f-c8e940cbfe32,05:00:00,06:00:00,3600,0
7e63fb00-5378-4340-8026-9ab9ab5b66de,06:00:00,08:00:00,1800,0
aba5ddfb-f2be-4808-b882-7894f7fb8d0c,21:00:00,23:00:00,3600,0
11eb8707-3f0b-4841-ae1c-355074fcce4f,18:00:00,21:00:00,1800,0
4bbfbd03-a790-43d6-9642-f3538c2f358f,05:00:00,07:00:00,1200,0
fa13f762-8e56-4130-90e5-826ae0a11c7b,09:00:00,10:00:00,3600,0
ebe2ce54-8ceb-4368-b4fb-b8c4def3a0bb,20:00:00,24:00:00,3600,0
f29cd6c4-455a-4e0e-956e-ed01899f6efd,21:00:00,24:00:00,3600,0
7ab4caa9-7fa9-409f-b097-41b801ad234d,05:00:00,06:00:00,1200,0
af91a470-4084-41f6-93e1-236622610c5c,04:00:00,05:00:00,720,0
4bb3664a-c9b8-4a57-9778-6702dce69008,21:00:00,22:00:00,1800,0
d31eb908-b299-4466-9a6c-38dde047867c,20:00:00,22:00:00,3600,0
be63b143-229f-4c42-88b5-41f7c648d47a,23:00:00,24:00:00,1800,0
eeb9e692-f172-4a12-82f3-f96853625426,24:00:00,25:00:00,1200,0
