trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
ff0bfae9-48b8-4970-81e4-d4666aea12fe,O0426AAA0A,S_REG,Jardim de Alah,426,0,iy3o
c2a156ed-f8c9-49f9-b573-f82a012f05ab,O0133AAA0A,D_REG,Terminal Gentileza,133,0,a20e6a6d-a5d4-4ea1-8ab1-1da972ef6011
327d2f49-2d67-4c6f-bd0e-f6ace5e5baee,O0867AAA0A,U_REG,Barra de Guaratiba,867,1,e9ed4c81-0e5d-4cea-850b-58621b3e49c0
2451aafe-fa79-46d7-b584-02c3415539cd,O0867AAA0A,U_REG,Barra de Guaratiba,867,1,e9ed4c81-0e5d-4cea-850b-58621b3e49c0
54094f34-3152-47a9-806c-91d9b8d49d1f,O0920AAA0A,U_REG,Bonsucesso,920,0,O0920AAA0AIDU01
47df22e4-ddcd-4fa7-93c0-c704743d8ccb,O0777AAV0A,D_REG,Padre Miguel,SV777,1,O0777AAV0AVDU02
516c6a52-06b0-4ba4-8123-1289597542bd,O0691AAA0A,S_REG,Méier,691,1,tbv0
43aad832-425c-4797-b520-7ba555f6a05c,O0410AAA0A,U_REG,Saens Peña,410,1,ld39
6660c1cf-4edf-4be5-af7f-5cd66e4f134d,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
8a1dbe10-03be-45b6-9b71-924e843e6edb,O0393AAR0A,U_REG,Candelária,SR393,0,O0393AAR0AIDU01
62b3cbe4-7beb-4455-ab03-a71c3ee8dc99,O0393AAR0A,U_REG,Candelária,SR393,0,O0393AAR0AIDU01
a099893e-6b1f-4b29-bb9e-b57b5a7efa44,O0133AAA0A,D_REG,Terminal Gentileza,133,0,a20e6a6d-a5d4-4ea1-8ab1-1da972ef6011
8d37af4f-95ca-49e6-b513-61fcf36df9a1,O0410AAA0A,U_REG,Saens Peña,410,1,ld39
4ad4a75e-df2c-4b93-b770-106757671b6e,O0691AAA0A,S_REG,Méier,691,1,tbv0
c7b3ac0c-dc4c-4dab-a75d-b7df0fdf3ac6,O0432AAA0A,D_REG,Vila Isabel,432,1,jsxt
31d0042f-a473-4aa7-8236-39287622d20b,O0519AAA0A,U_REG,Circular,519,0,67l0
a0ffe36f-6c4e-4f4f-9f0b-128e9c837f0d,O0669AAA0A,S_REG,Méier,669,0,2bjt
82aee788-effb-45d9-8ac5-1ecb1b715c63,O0611AAA0A,U_REG,Riocentro,611,1,io9a
7c3edf76-28cf-47e1-8387-182679bb72d0,O0691AAA0A,S_REG,Cidade de Deus,691,0,owey
022afa86-cc9c-4443-b52f-f17a9cdf7419,E2110AAA0A,U_REG,Castelo,2110,0,50ix
35d49081-4352-4815-9d95-0c63ca9f7fd5,O0107AAA0A,S_REG,Central,107,1,4gap
fa9563a7-4644-429b-ac92-a999845e1a2d,E2335AAA0A,U_REG,Castelo,2335,0,gbqf
e624480d-e964-47e3-8d40-5f85508033aa,O0691AAA0A,S_REG,Cidade de Deus,691,0,owey
c651fa05-afe3-424f-8a16-302469cddc1e,O0693AAA0A,U_REG,Terminal Alvorada,693,0,ex6i
729177e9-ee63-4a21-8e43-a9cbb93f7521,O0693AAA0A,U_REG,Terminal Alvorada,693,0,ex6i
719705c7-b95d-4a47-a74e-d6f1f2c4abc5,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
bc4e22a7-48df-4f4e-b51d-5f2f138befc5,O0606AAV0A,U_REG,Engenho de Dentro,SV606,1,41i6
f9fa7855-b9ce-4abb-ad42-c7acb7db4199,O0163AAA0A,S_REG,Copacabana,163,0,446r
44c19212-7db9-4176-8572-5cf8018af570,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
e07ab7e6-34d2-4e35-a07d-70d3b2f175e8,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
b52c39ce-69ff-4ee3-83b3-eb2bac5eae4e,O0796AAA0A,U_REG,Campo Grande,796,1,bpq0
db5efcfe-bf38-48cf-87ba-3d5460f38f5f,O0483AAV0A,U_REG,Penha,SV483,0,4dox
612abc65-078b-4ce1-b61d-c3f7f32b91dd,O0133AAA0A,U_REG,Largo do Machado,133,1,5a65e29a-25a0-49e4-a861-1601b80d5a7b
d8b0196b-bd7a-41c7-bd9b-914558b60221,O0100AAA0A,S_REG,Metrô General Osório,100,1,hq21
c35b1bf3-20e6-49e4-8261-a6b58b9adc48,O0399AAR0A,U_REG,Pavuna,SR399,1,v25v
c7f19049-1c23-4c32-a6f8-a86890d137ff,O0866AAV0A,U_REG,Terminal Pingo D'Água,SV866,0,davx
aee30a43-0dc1-4e37-99f7-ab71700c579e,O0112AAV0A,U_REG,Terminal Gentileza,SV112,1,8wo6
252cd54f-b23d-4d0c-9a87-f1bba5cdffd9,O0363AAV0A,U_REG,Candelária,SV363,0,i58u
24247352-d567-4717-9644-e2218b9f40ff,O0777AAV0A,U_REG,Padre Miguel,SV777,1,O0777AAV0AVDU02
bedaf50a-4d13-4433-972f-6bb557ef3ac0,O0777AAV0A,U_REG,Padre Miguel,SV777,1,O0777AAV0AVDU02
d4b3e889-7f66-4905-b099-e58f4b9eaf92,O0777AAV0A,U_REG,Padre Miguel,SV777,1,O0777AAV0AVDU02
6fcc451d-0456-40ea-a686-54df5fbfc192,O0866AAV0A,D_REG,Terminal Campo Grande,SV866,1,O0866AAV0AIDU01
360d552c-dc77-4e37-b6da-d6465fcedaf3,O0866AAV0A,D_REG,Terminal Campo Grande,SV866,1,O0866AAV0AIDU01
b28c5740-eb0a-4513-89c5-d38cce8f5e91,O0866AAV0A,D_REG,Terminal Campo Grande,SV866,1,O0866AAV0AIDU01
68120c06-739b-4eb6-a49e-21dd1f144065,O0866AAV0A,D_REG,Terminal Campo Grande,SV866,1,O0866AAV0AIDU01
4a42dbe1-fcfb-4681-bd69-ce96c03800ce,O0866AAV0A,D_REG,Terminal Campo Grande,SV866,1,O0866AAV0AIDU01
5ef18ecc-0a10-4d29-add5-66225670714d,O0866AAV0A,D_REG,Terminal Campo Grande,SV866,1,O0866AAV0AIDU01
8c769053-bf9c-423e-85da-1370423f99ec,O0853AAV0A,D_REG,Terminal Deodoro,SV853,0,ci6k
6ee55155-1f56-4583-ab49-6622c30b8f17,O0483AAV0A,D_REG,Penha,SV483,0,4dox
e1d2d6ad-7bbe-4501-8d53-457a74dc3578,O0483AAV0A,U_REG,Penha,SV483,0,4dox
0e994989-4313-4166-be42-cfa05f3c2ab6,O0388AAR0A,U_REG,Cesarão,SR388,1,zjbd
49c64cd7-b19d-4457-ad0e-6103793a3f17,O0474AAV0A,S_REG,Copacabana,SV474,0,qppd
3cf789ce-d821-4ad2-8d84-ee9a9f14a84d,O0474AAV0A,U_REG,Copacabana,SV474,0,qppd
30228746-b067-4a35-a4ff-e727c2051d8e,O0163AAA0A,S_REG,Copacabana,163,0,446r
85a8d6c9-57cf-49a7-8b46-cac995f5276b,O0691AAA0A,S_REG,Méier,691,1,tbv0
0392aea3-fd3e-477c-8419-4f2489b742e7,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
b989e4e9-aa61-4e0d-8aa5-79365f0dd0e0,O0292AAA0A,D_REG,Engenho da Rainha,292,1,4w0k
